iter	RMSE
258	65.42061576
259	65.4135194
260	65.40306049
261	65.38852509
262	65.37984558
263	65.36436855
264	65.3470837
265	65.33824579
266	65.31796627
267	65.30229765
268	65.29215118
269	65.28673623
270	65.27642155
271	65.27145044
272	65.26226259
273	65.25071466
274	65.23917756
275	65.22327567
276	65.2165558
277	65.21145303
278	65.19537114
279	65.18309378
280	65.1693025
281	65.16120753
282	65.14547039
283	65.13083652
284	65.11953319
285	65.10951371
286	65.10084946
287	65.09199522
288	65.08525958
289	65.07442899
290	65.06215327
291	65.05744408
292	65.05056954
293	65.04354083
294	65.03674707
295	65.03131173
296	65.01995381
297	65.01029004
298	64.9960464
299	64.98498319
300	64.97481877
301	64.96231715
302	64.95307174
303	64.94344406
304	64.93450261
305	64.92459413
306	64.91193887
307	64.90351322
308	64.89605337
309	64.88758306
310	64.87433722
311	64.86682458
312	64.84888503
313	64.83392121
314	64.82009461
315	64.81005366
316	64.79805893
317	64.79428362
318	64.78117259
319	64.77189646
320	64.76827014
321	64.75723204
322	64.74917705
323	64.72502368
324	64.71764279
325	64.7048328
326	64.68884646
327	64.68016505
328	64.67500309
329	64.66920062
330	64.65812506
331	64.6385016
332	64.62761036
333	64.61731674
334	64.59989128
335	64.58904588
336	64.5807192
337	64.56978303
338	64.55650749
339	64.54618285
340	64.53460826
341	64.5231328
342	64.5123868
343	64.50658868
344	64.49790065
345	64.48412
346	64.46947669
347	64.46064778
348	64.45223825
349	64.44680567
350	64.43945556
351	64.42978678
352	64.42465072
353	64.41169218
354	64.40113299
355	64.39106465
356	64.37512732
357	64.36927448
358	64.36368522
359	64.34906132
360	64.33999749
361	64.3314903
362	64.31626591
363	64.30718305
364	64.2964917
365	64.28657418
366	64.27516821
367	64.26824413
368	64.25746914
369	64.24803236
370	64.22676537
371	64.21601421
372	64.20410652
373	64.19913605
374	64.18365404
375	64.17672647
376	64.1665152
377	64.15796871
378	64.14508899
379	64.13824729
380	64.12629308
381	64.11770149
382	64.11203048
383	64.10772974
384	64.10139166
385	64.0917106
386	64.08266482
387	64.07779908
388	64.06942018
389	64.06104412
390	64.05408083
391	64.04540128
392	64.03184794
393	64.02130186
394	64.01424084
395	64.00339282
396	63.99347077
397	63.98473999
398	63.97720053
399	63.97046609
400	63.96339037
401	63.95548394
402	63.95096107
403	63.94544506
404	63.93522872
405	63.92539473
406	63.91561676
407	63.90789579
408	63.89626462
409	63.88439422
410	63.88024904
411	63.87106307
412	63.86251611
413	63.84584229
414	63.83852676
415	63.83054262
416	63.82139414
417	63.8144743
418	63.80557363
419	63.7964147
420	63.79101395
421	63.78325503
422	63.77592176
423	63.76853901
424	63.76046354
425	63.74228165
426	63.73121209
427	63.72454966
428	63.71989429
429	63.71206865
430	63.70416288
431	63.69947507
432	63.69128566
433	63.6864762
434	63.67643727
435	63.66894923
436	63.66250257
437	63.64689995
438	63.63924058
439	63.63133363
440	63.62197758
441	63.61424244
442	63.60794704
443	63.60578537
444	63.60013438
445	63.59413458
446	63.58214041
447	63.57393799
448	63.5700519
449	63.56333161
450	63.55112034
451	63.54442282
452	63.53921202
453	63.53352493
454	63.52530597
455	63.51823474
456	63.51109017
457	63.50585029
458	63.49901155
459	63.49540718
460	63.49233528
461	63.47992842
462	63.47549661
463	63.46784429
464	63.46237943
465	63.45434156
466	63.44792111
467	63.44169031
468	63.43526938
469	63.42345665
470	63.41661062
471	63.40742501
472	63.3966102
473	63.39159956
474	63.3867821
475	63.38070871
476	63.36690941
477	63.35867514
478	63.35161861
479	63.33900909
480	63.33168782
481	63.32597968
482	63.317497
483	63.31181086
484	63.30410408
485	63.29385954
486	63.28350064
487	63.28003422
488	63.26700894
489	63.25803159
490	63.24609848
491	63.23786749
492	63.23433398
493	63.22842471
494	63.22345749
495	63.22038804
496	63.20784037
497	63.19632844
498	63.18581063
499	63.17945261
500	63.17198713
501	63.16484807
502	63.16113402
503	63.15685979
504	63.15195021
505	63.14675503
506	63.13826414
507	63.13096739
508	63.12493249
509	63.12075613
510	63.1152328
511	63.10726783
512	63.09865613
513	63.09408084
514	63.08670996
515	63.08044971
516	63.07083063
517	63.06145407
518	63.06008992
519	63.05333541
520	63.04785584
521	63.03973096
522	63.03359219
523	63.01888876
524	63.01017195
525	63.00428996
526	62.99673652
527	62.99052237
528	62.97481808
529	62.96353542
530	62.95264078
531	62.94069469
532	62.93667859
533	62.93174272
534	62.92558254
535	62.91983663
536	62.91291868
537	62.9091928
538	62.89902925
539	62.89167511
540	62.88340712
541	62.87651806
542	62.86741669
543	62.86212833
544	62.85355152
545	62.83818861
546	62.83385815
547	62.82786094
548	62.82238819
549	62.80853037
550	62.80398603
551	62.79394209
552	62.78719278
553	62.77924581
554	62.77439733
555	62.76793013
556	62.76311497
557	62.75813402
558	62.7518126
559	62.74668887
560	62.74013217
561	62.7334113
562	62.72668813
563	62.72206679
564	62.71778624
565	62.71210431
566	62.70078535
567	62.69515629
568	62.68818892
569	62.68493454
570	62.6793561
571	62.67119183
572	62.66432543
573	62.65960908
574	62.65244291
575	62.64748049
576	62.64300216
577	62.63253734
578	62.62536955
579	62.61840895
580	62.61274204
581	62.60336911
582	62.59985131
583	62.59460038
584	62.58884957
585	62.58366189
586	62.58018886
587	62.57249909
588	62.56429187
589	62.56185714
590	62.55783737
591	62.55240413
592	62.54100929
593	62.53061458
594	62.52745627
595	62.51817124
596	62.51144813
597	62.5058611
598	62.49490867
599	62.48896665
600	62.47892964
601	62.47479029
602	62.46527797
603	62.45810259
604	62.45241594
605	62.4513423
606	62.44211083
607	62.43209045
608	62.42540948
609	62.42197219
610	62.41814115
611	62.41118352
612	62.40490404
613	62.39900686
614	62.39331289
615	62.38955127
616	62.3819909
617	62.3765787
618	62.36895469
619	62.36566838
620	62.36056508
621	62.35475833
622	62.34486871
623	62.33954614
624	62.33292794
625	62.33014708
626	62.3255146
627	62.32273599
628	62.31708344
629	62.30906827
630	62.30125348
631	62.29810902
632	62.29496625
633	62.29041383
634	62.28416529
635	62.2725154
636	62.26717626
637	62.26314407
638	62.25572887
639	62.25261409
640	62.24773837
641	62.23606918
642	62.23177553
643	62.22463775
644	62.21963092
645	62.21505511
646	62.21154244
647	62.20573434
648	62.20258087
649	62.19878955
650	62.19594378
651	62.19235829
652	62.18657439
653	62.18165322
654	62.17391175
655	62.16701398
656	62.16335928
657	62.15644595
658	62.15063337
659	62.14547017
660	62.14072911
661	62.13436584
662	62.12846366
663	62.12303465
664	62.12129167
665	62.11208369
666	62.10891841
667	62.09871832
668	62.09258927
669	62.08873265
670	62.08560477
671	62.07809581
672	62.07385778
673	62.0696514
674	62.06308757
675	62.05957702
676	62.05463039
677	62.05115842
678	62.05022323
679	62.03944757
680	62.03406422
681	62.03127551
682	62.02495475
683	62.01683387
684	62.01085456
685	62.0069378
686	62.00104153
687	61.9963452
688	61.99080939
689	61.98428102
690	61.97599009
691	61.97055918
692	61.96350604
693	61.95483041
694	61.95194249
695	61.94243326
696	61.93731531
697	61.93137582
698	61.92408851
699	61.92182929
700	61.91917746
701	61.91133913
702	61.90654208
703	61.90008263
704	61.89357884
705	61.88880758
706	61.88311814
707	61.87959232
708	61.87634494
709	61.87056322
710	61.86532578
711	61.85659647
712	61.85186911
713	61.84653609
714	61.83973636
715	61.8322322
716	61.82880514
717	61.82546514
718	61.82005733
719	61.80908548
720	61.80349872
721	61.79579514
722	61.78958282
723	61.7793517
724	61.7737541
725	61.7676284
726	61.76114862
727	61.75680047
728	61.75244508
729	61.74863782
730	61.74037426
731	61.73306371
732	61.72702789
733	61.71797048
734	61.70984833
735	61.70447818
736	61.69227183
737	61.68939951
738	61.68500217
739	61.6735175
740	61.66451505
741	61.66070348
742	61.65696351
743	61.65176361
744	61.64591762
745	61.64097771
746	61.63711126
747	61.63180552
748	61.62594198
749	61.62135508
750	61.61617488
751	61.60707922
752	61.60435314
753	61.60053586
754	61.5923343
755	61.58746657
756	61.58079506
757	61.57603493
758	61.57228921
759	61.56414853
760	61.56054931
761	61.55005059
762	61.5449272
763	61.5430335
764	61.53127661
765	61.52591779
766	61.52038163
767	61.51281883
768	61.50571027
769	61.49820944
770	61.49735409
771	61.49302351
772	61.48884275
773	61.48304769
774	61.48044723
775	61.47648855
776	61.47333745
777	61.46747478
778	61.46463312
779	61.45456008
780	61.45115435
781	61.44571419
782	61.43853995
783	61.43208675
784	61.42334605
785	61.41667089
786	61.41411852
787	61.40677985
788	61.40203355
789	61.39774931
790	61.39413461
791	61.39110842
792	61.38118807
793	61.37648086
794	61.37327541
795	61.36044338
796	61.35008778
797	61.34552865
798	61.34148947
799	61.33705209
800	61.33293604
801	61.32859517
802	61.31887888
803	61.31463262
804	61.3123966
805	61.30858371
806	61.30662135
807	61.29877788
808	61.29119313
809	61.28854975
810	61.28553007
811	61.28137662
812	61.27673622
813	61.27133014
814	61.2663407
815	61.25900167
816	61.25051984
817	61.24501664
818	61.24109128
819	61.23445231
820	61.23099574
821	61.22581138
822	61.22262995
823	61.21898221
824	61.21571672
825	61.21070073
826	61.20389834
827	61.19827705
828	61.18935221
829	61.18703334
830	61.18328565
831	61.17820875
832	61.17454765
833	61.17017851
834	61.16524935
835	61.15433096
836	61.14273591
837	61.13765051
838	61.13480166
839	61.12967778
840	61.12453026
841	61.1200018
842	61.11615379
843	61.10898013
844	61.1046853
845	61.09329839
846	61.0834678
847	61.07860124
848	61.07008602
849	61.06329402
850	61.06052887
851	61.05697778
852	61.04854747
853	61.04341571
854	61.03433368
855	61.03081594
856	61.02463534
857	61.01929535
858	61.01502229
859	61.00752741
860	61.00189922
861	60.99600834
862	60.99370716
863	60.9904689
864	60.97898405
865	60.97351306
866	60.96921293
867	60.96436257
868	60.9584464
869	60.95642495
870	60.95250873
871	60.94708161
872	60.94241155
873	60.93297702
874	60.92792855
875	60.92322898
876	60.91966258
877	60.91713507
878	60.91367384
879	60.90882893
880	60.90356177
881	60.89969527
882	60.89505054
883	60.88815378
884	60.87855388
885	60.87405256
886	60.86750284
887	60.86319515
888	60.85635673
889	60.84419616
890	60.83726286
891	60.83415934
892	60.82883081
893	60.8256336
894	60.82296296
895	60.81838812
896	60.81142
897	60.80711302
898	60.80240028
899	60.79430151
900	60.78920392
901	60.78347892
902	60.77848601
903	60.77318605
904	60.76750198
905	60.76311631
906	60.7593432
907	60.7546063
908	60.74982132
909	60.7420769
910	60.73822308
911	60.7341438
912	60.7292332
913	60.72446098
914	60.72284563
915	60.71871642
916	60.71400649
917	60.7079557
918	60.70570583
919	60.70043108
920	60.69660337
921	60.69287673
922	60.68846425
923	60.68117202
924	60.67117364
925	60.66827144
926	60.66176418
927	60.65655736
928	60.64990826
929	60.64411744
930	60.64232426
931	60.63981956
932	60.63528113
933	60.62907913
934	60.62308341
935	60.61659144
936	60.6106853
937	60.60779301
938	60.60281851
939	60.59850299
940	60.59545052
941	60.59045327
942	60.58534449
943	60.58144312
944	60.57725834
945	60.57559012
946	60.56899458
947	60.56324923
948	60.5583799
949	60.55038491
950	60.54660608
951	60.54159517
952	60.53377482
953	60.5271715
954	60.51771701
955	60.51583444
956	60.51375224
957	60.50943411
958	60.50763011
959	60.5039127
960	60.50007896
961	60.49510906
962	60.48628385
963	60.48078706
964	60.47639125
965	60.47157414
966	60.46569371
967	60.46079401
968	60.45548829
969	60.45401343
970	60.45172413
971	60.44601146
972	60.44286365
973	60.43324405
974	60.42590617
975	60.42021471
976	60.41476863
977	60.40764633
978	60.40546375
979	60.39983298
980	60.39672203
981	60.39379857
982	60.38649632
983	60.37725175
984	60.37212034
985	60.3689956
986	60.36497697
987	60.36280312
988	60.35892184
989	60.35600153
990	60.34902967
991	60.34394112
992	60.33693322
993	60.32877487
994	60.3247281
995	60.31804676
996	60.31106303
997	60.30599743
998	60.30311596
999	60.30095841
